SUBDIVISION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,MEAN
GANGETIC WEST BENGAL,12.595652173913,22.4521739130435,29.0904347826087,44.8852173913044,107.787826086957,247.196521739131,326.377391304348,311.382608695652,245.710434782609,115.746086956522,21.5791304347826,5.6904347826087,1490.48782608696,35.0426086956522,181.766086956522,1130.65739130435,143.018260869565,124.207826086957
GUJARAT REGION,1.78608695652174,1.19130434782609,1.22086956521739,1.11652173913043,5.8095652173913,121.284347826087,348.920869565217,259.193043478261,148.841739130435,20.5652173913043,6.92869565217391,1.33913043478261,918.230434782608,2.97739130434783,8.16173913043479,878.251304347826,28.8347826086957,76.5164492753623
HARYANA DELHI & CHANDIGARH,16.8895652173913,17.4339130434783,12.935652173913,7.63391304347826,14.5339130434783,48.6260869565217,150.015652173913,150.840869565217,88.3069565217391,12.8234782608696,3.26434782608696,7.18608695652174,530.49652173913,34.3313043478261,35.1121739130435,437.786956521739,23.2704347826087,44.2075362318841
HIMACHAL PRADESH,84.1895652173913,90.8947826086957,101.146086956522,62.4286956521739,58.1565217391304,91.2208695652174,280.284347826087,273.933043478261,130.219130434783,31.2782608695652,16.695652173913,39.8930434782608,1260.3452173913,175.082608695652,221.726956521739,775.664347826088,87.8713043478261,105.028333333333
JAMMU & KASHMIR,102.030434782609,115.450434782609,131.378260869565,93.7026086956521,67.4765217391304,64.2347826086957,181.293168125112,180.973043478261,89.2895652173913,34.1669565217391,24.2701405497008,55.1075702577352,1142.04355565005,217.482608695652,292.552173913044,520.20456320549,114.308699890854,94.9477906356834
JHARKHAND,17.6217391304348,24.1860869565217,18.4234782608696,19.3669565217391,48.3173913043478,194.588695652174,336.975652173913,325.524347826087,227.421739130435,80.0156521739131,11.9234782608696,4.93913043478261,1309.30347826087,41.8095652173913,86.0956521739131,1084.51043478261,96.8808695652174,109.108695652174
KERALA,12.2469565217391,15.4965217391304,36.8147826086957,110.573913043478,229.881739130435,654.302608695652,700.953043478261,421.977391304348,245.619130434782,294.122608695652,163.56,39.9504347826087,2925.48782608696,27.7391304347826,377.253913043478,2022.84086956522,497.63652173913,243.791594202899
KONKAN & GOA,1.26260869565217,0.54695652173913,1.37478260869565,4.26608695652174,33.515652173913,688.569565217391,1073.03043478261,682.756521739131,349.78,113.386956521739,24.6713043478261,4.51652173913043,2977.68608695652,1.81304347826087,39.1617391304348,2794.13043478261,142.579130434783,248.139782608696
LAKSHADWEEP,27.3448652638405,15.8868888121105,14.5791087207069,45.1276742439757,162.522726613519,325.919025336389,283.646868448805,209.43707889617,164.070050582661,164.85369321942,120.368394555207,59.3393185838439,1573.52980611676,42.4538891023178,221.439535196648,986.402623460746,344.793008111309,132.757974439721
MADHYA MAHARASHTRA,3.05478260869565,1.46782608695652,3.59652173913044,9.14695652173913,22.9434782608696,147.426086956522,248.98,184.397391304348,157.221739130435,70.1947826086957,25.9452173913043,5.84869565217392,880.233043478261,4.52608695652174,35.6921739130435,738.025217391304,101.986086956522,73.3519565217392
MATATHWADA,5.00086956521739,4.44347826086957,7.10521739130435,7.59478260869565,15.6469565217391,136.957391304348,180.648695652174,166.484347826087,178.476521739131,58.58,22.4365217391304,7.30260869565217,790.692173913043,9.44869565217392,30.3521739130435,662.567826086957,88.3191304347826,65.8897826086956
NAGA MANI MIZO TRIPURA,14.0252173913044,36.6521739130435,77.1991304347826,170.733043478261,290.839130434783,445.633913043478,438.684347826087,411.281739130435,314.350434782609,175.006086956522,46.8339130434783,12.3991304347826,2433.61913043478,50.6695652173913,538.769565217391,1609.94173913043,234.24,202.803188405797
NORTH INTERIOR KARNATAKA,3.01304347826087,3.17217391304348,7.12347826086957,24.3008695652174,47.0356521739131,100.993043478261,138.531304347826,119.459130434783,142.940869565217,95.6886956521739,29.2078260869565,6.32782608695652,717.795652173913,6.18434782608696,78.4608695652174,501.927826086957,131.22347826087,59.8161594202898
ORISSA,12.3295652173913,19.7191304347826,21.1347826086957,34.16,64.8860869565217,210.860869565218,351.173043478261,355.382608695652,241.403478260869,113.592173913043,27.9617391304348,5.56782608695652,1458.16956521739,32.0478260869565,120.184347826087,1158.81739130435,147.122608695652,121.514275362319
PUNJAB,25.2460869565217,26.7869565217391,23.6513043478261,12.66,14.1365217391304,46.4669565217391,168.96347826087,158.167826086957,86.7895652173913,13.8365217391304,4.14,12.6947826086957,593.535652173913,52.0304347826087,50.44,460.392173913043,30.6695652173913,49.4616666666667
RAYALSEEMA,9.86782608695653,5.68,8.07652173913043,19.8086956521739,50.475652173913,64.7426086956522,96.0817391304348,107.511304347826,131.72,135.327826086957,102.653913043478,34.26,766.206086956522,15.5452173913044,78.3582608695652,400.058260869565,272.241739130435,63.8505072463768
SAURASHTRA & KUTCH,1.13913043478261,1.61565217391304,1.29652173913043,1.18347826086957,4.66260869565217,74.3713043478261,194.970434782609,118.770434782609,75.4182608695653,14.5104347826087,6.09652173913044,1.10869565217391,495.161739130435,2.75217391304348,7.14086956521739,463.53652173913,21.7182608695652,41.2619565217391
SOUTH INTERIOR KARNATAKA,2.92869565217391,4.16347826086957,9.48521739130435,42.2808695652174,92.1,141.417391304348,231.359130434783,174.239130434783,137.313913043478,139.14347826087,54.4313043478261,11.5173913043478,1040.39130434783,7.08782608695652,143.861739130435,684.338260869565,205.093913043478,86.6983333333333
SUB HIMALAYAN WEST BENGAL & SIKKIM,14.0834782608696,22.9747826086956,43.1356521739131,110.681739130435,269.14347826087,537.881739130435,646.402608695652,520.763478260869,421.341739130435,143.646086956522,16.0886956521739,6.06,2752.21739130435,37.0608695652174,422.968695652174,2126.39130434783,165.801739130435,229.350289855072
TAMIL NADU,23.8191304347826,13.4226086956522,19.475652173913,44.9956521739131,69.9208695652174,52.0565217391304,71.3147826086956,95.8878260869565,111.597391304348,183.19652173913,176.90347826087,81.1373913043479,943.713043478261,37.2391304347826,134.386086956522,330.847826086957,441.234782608696,78.6439855072464
TELANGANA,7.70260869565218,9.68869565217391,12.6147826086957,18.1852173913043,25.3739130434783,142.126086956522,247.499130434783,215.059130434783,175.50347826087,74.2269565217391,20.2504347826087,5.14173913043478,953.378260869565,17.3965217391304,56.1730434782609,780.186956521739,99.6208695652174,79.4476811594203
UTTARAKHAND,53.7973913043478,63.4521739130435,57.2721739130435,35.1660869565217,55.3382608695653,162.551304347826,390.698260869565,382.023478260869,196.09652173913,39.0739130434783,8.18782608695652,22.035652173913,1465.69652173913,117.251304347826,147.773913043478,1131.36782608696,69.3060869565218,122.141086956522
VIDARBHA,10.5634782608696,11.9826086956522,11.8721739130435,9.43565217391304,11.5513043478261,173.578260869565,329.428695652174,285.949565217391,175.449565217391,52.1486956521739,15.5747826086957,7.92782608695652,1095.45913043478,22.544347826087,32.8513043478261,964.40347826087,75.6547826086956,91.2885507246377
WEST MADHYA PRADESH,9.24173913043478,6.44265499635303,5.17304347826087,2.37565217391304,7.65739130434782,111.781739130435,302.982608695652,288.108695652174,161.168695652174,28.0869565217391,12.3408695652174,6.29652173913043,948.416599128308,15.856937268592,15.2173913043478,864.043478260869,46.7243478260869,78.4713806699859
WEST RAJASTHAN,3.32782608695652,4.9304347826087,3.98608695652174,3.57130434782609,9.44347826086956,28.6373913043478,95.1713043478261,94.5556521739131,40.3426086956522,5.12782608695652,1.66695652173913,1.90260869565217,292.673043478261,8.25565217391304,17.0060869565217,258.707826086957,8.70086956521739,24.3886231884058
WEST UTTAR PRADESH,17.6660869565217,17.8939130434783,11.4617391304348,6.25304347826087,12.3060869565217,77.5973913043478,246.52,251.299130434783,146.254782608696,28.7773913043478,3.96608695652174,7.11478260869566,827.114782608695,35.5547826086957,30.0260869565217,721.67652173913,39.8582608695652,68.9258695652174
INDIA,19.1219719635916,22.1096168336462,27.8986512305651,44.1220187347909,87.2746423404241,232.338690189826,348.756186178419,291.265310382612,198.659069749306,96.1770208803318,40.0977496735887,19.0620790166474,1420.96948612365,41.2166377098039,158.925148927288,1070.59835763343,155.182063669306,118.906917264479
